Component,Quantity,Source,Price,
,,,,
Kailh 1353 Choc V2,70,AliExpress,$28.79,
1N4148 Diodes,100,AliExpress,$2.59,
M2 Countersunk Screws,30,AliExpress,$2.89,
M2 Heat Inserts,100,AliExpress,$4.95,
Raspberry Pi Pico,1,AliExpress,$3.69,
0.1uf 1206 smd capacitor,100,AliExpress,$3.64,
SK6812 Mini E RGB LED,100,AliExpress,$6.00,
Womier Low Profile Keycaps,1,Amazon,$32.35,Did not account for hst and shipping last time
3D Prints,3,Print-legion,$15.00,
PCB,5,JLCPCB,$7,
Low-profile Stabilisers,1,Gateron,$11.18,
,,,,
,,,,
Total: ,,,$117.58,
