Component,Quantity,Source,Price,Additional Notes,,,Links
,,,,,,,
Kailh 1353 Choc V2,70,AliExpress,$28.79,,,,https://www.aliexpress.com/item/1005012840262743.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+28.59%21CAD+25.13%21%21CAD+25.13%21%21%21%4021030cd817882753479835983e0e36%2112000059499320565%21ct%21CA%213492377874%21%211%210%21
1N4148 Diodes,100,AliExpress,$2.59,,,,https://www.aliexpress.com/item/1005004103990376.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+2.59%21CAD+2.59%21%21CAD+2.59%21%21%21%4021030cd817882753479835983e0e36%2112000028047117246%21ct%21CA%213492377874%21%211%210%21
M2 Countersunk Screws,30,AliExpress,$2.89,,,,https://www.aliexpress.com/item/1005008810897680.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+3.11%21CAD+2.99%21%21CAD+2.99%21%21%21%4021030cd817882753479835983e0e36%2112000046763245363%21ct%21CA%213492377874%21%211%210%21
M2 Heat Inserts,100,AliExpress,$4.95,,,,https://www.aliexpress.com/item/1005006798286851.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+5.32%21CAD+5.01%21%21CAD+5.01%21%21%21%4021030cd817882753479835983e0e36%2112000038340344498%21ct%21CA%213492377874%21%211%210%21
Raspberry Pi Pico,1,AliExpress,$3.69,,,,https://www.aliexpress.com/item/1005006615944063.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+3.68%21CAD+3.52%21%21CAD+3.52%21%21%21%4021030cd817882753479835983e0e36%2112000037830228609%21ct%21CA%213492377874%21%211%210%21
0.1uf 1206 smd capacitor,100,AliExpress,$3.64,,,,https://www.aliexpress.com/item/4000094406197.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+3.63%21CAD+3.63%21%21CAD+3.63%21%21%21%4021030cd817882753479835983e0e36%2110000000248505219%21ct%21CA%213492377874%21%211%210%21
SK6812 Mini E RGB LED,100,AliExpress,$6.00,,,,https://www.aliexpress.com/item/1005007863635868.html?spm=a2g0o.cart.0.0.145c38daESm5Ud&mp=1&pdp_npi=6%40dis%21CAD%21CAD+6.44%21CAD+6.44%21%21CAD+6.44%21%21%21%4021030cd817882753479835983e0e36%2112000042594617264%21ct%21CA%213492377874%21%211%210%21
Womier Low Profile Keycaps,1,Amazon,$32.35,Includes $3.72 HST and $4.64 shipping,,,https://www.amazon.ca/gp/product/B0DCBWMJF5/ref=ox_sc_act_title_1?smid=AZ1RQDED92VC&th=1
3D Prints,3,Print-legion,$15.00,$10 print $5 shipping said by person ,,,https://blazecoding.xyz/   <-- Website of the person I am printing from in print-legion.
PCB,5,JLCPCB,$7,Includes $2.50 shipping,,,Can't share jlcpcb order link 
Low-profile Stabilisers,1,Gateron,$11.18,Include $4.30 shipping,,,https://www.gateron.com/products/gateron-low-profile-plate-mounted-stabilizer?VariantsId=10540
,,,,,,,
,,,,,,,
Total: ,,,$117.58,,,,
